"LogbookID";"UserID";"Timestamp";"Category";"ActionString";"Items";"IsAdminEntry";"Group"
"2144";"41854671";"2014-12-01 00:01:34";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"28988";"32192005";"2014-12-01 01:01:15";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"44026";"28800682";"2014-12-01 02:01:20";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"54315";"41854172";"2014-12-01 03:01:14";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"66222";"41779303";"2014-12-01 04:01:20";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"72771";"2316858";"2014-12-01 05:01:17";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"78600";"2316858";"2014-12-01 06:01:20";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"86266";"2316858";"2014-12-01 07:01:10";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"93474";"14837637";"2014-12-01 08:01:17";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"102103";"41812818";"2014-12-01 09:01:12";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"111152";"41855639";"2014-12-01 10:01:23";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"121281";"19238493";"2014-12-01 11:01:12";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"135586";"19238493";"2014-12-01 12:01:20";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"154904";"41832457";"2014-12-01 13:01:25";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"168974";"41851210";"2014-12-01 14:01:14";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"182804";"41851210";"2014-12-01 15:01:32";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"200240";"41851210";"2014-12-01 16:01:20";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"221054";"41851210";"2014-12-01 17:01:28";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
"241323";"41851210";"2014-12-01 18:01:17";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"39 STATS-England 1"
